4.30421,-4.74235,0.942519,-0.295579,0,3.35636,-4.78058,1.25892,0.0855838,0
4.4619,-3.75912,1.03411,-0.92719,0,4.30421,-4.74235,0.942519,-0.295579,0
3.81291,-3.24655,1.59632,0.984173,0,4.4619,-3.75912,1.03411,-0.92719,0
3.17435,-2.47867,1.64717,0.609031,0,3.81291,-3.24655,1.59632,0.984173,0
3.95101,-1.86829,1.80285,1.6921,0,3.17435,-2.47867,1.64717,0.609031,0
4.81694,-2.08484,2.25372,-0.0963845,0.00318637,3.95101,-1.86829,1.80285,1.6921,0
5.23736,-4.74701,1.30199,-1.57695,0,4.30421,-4.74235,0.942519,-0.295579,0
3.00767,-5.6511,0.911606,-2.56527,0,3.35636,-4.78058,1.25892,0.0855838,0
5.29823,-2.08279,1.37716,0.779538,0.00898427,4.81694,-2.08484,2.25372,-0.0963845,0.00318637
4.74532,-1.86626,2.30882,1.28325,0.00318637,4.81694,-2.08484,2.25372,-0.0963845,0.00318637
3.16275,-2.67415,1.36214,1.17276,0,3.17435,-2.47867,1.64717,0.609031,0
5.28969,-5.57037,0.736892,-2.2707,0,5.23736,-4.74701,1.30199,-1.57695,0
2.9483,-6.06275,1.77052,2.85795,0,3.00767,-5.6511,0.911606,-2.56527,0
5.99238,-6.14977,1.14984,-2.36375,0,5.28969,-5.57037,0.736892,-2.2707,0
1.96235,-6.11901,1.92781,2.22059,0,2.9483,-6.06275,1.77052,2.85795,0
