-4.57769,-3.68431,1.24291,-3.02476,0,-4.82074,-2.86604,0.721994,-0.656253,0
-4.85025,-3.67992,1.9199,2.93487,0,-4.57769,-3.68431,1.24291,-3.02476,0
-5.03612,-3.9374,2.11428,-1.74736,0,-4.85025,-3.67992,1.9199,2.93487,0
-5.48133,-4.57571,1.48632,-2.20937,0,-5.03612,-3.9374,2.11428,-1.74736,0
-4.78262,-5.21552,1.80639,0.289345,0,-5.48133,-4.57571,1.48632,-2.20937,0
-3.80731,-5.40059,1.92694,-0.91526,0.0099838,-4.78262,-5.21552,1.80639,0.289345,0
-2.92103,-4.96314,2.07906,-0.00459328,0.0099838,-3.80731,-5.40059,1.92694,-0.91526,0.0099838
-2.53079,-4.97011,1.15837,-0.32167,0.0099838,-2.92103,-4.96314,2.07906,-0.00459328,0.0099838
-1.55572,-5.184,1.09939,-1.64989,0.0099838,-2.53079,-4.97011,1.15837,-0.32167,0.0099838
-0.73738,-4.61569,1.01367,2.33295,0.0099838,-1.55572,-5.184,1.09939,-1.64989,0.0099838
-4.19567,-2.08717,0.773503,-1.18595,0,-4.82074,-2.86604,0.721994,-0.656253,0
-4.04655,-1.10001,0.716288,0.596281,0,-4.19567,-2.08717,0.773503,-1.18595,0
-3.41445,-0.328725,0.790858,0.0370978,0,-4.04655,-1.10001,0.716288,0.596281,0
-3.3094,0.166816,1.65307,-2.95588,0,-3.41445,-0.328725,0.790858,0.0370978,0
-3.77968,1.02857,1.84337,2.63666,0,-3.3094,0.166816,1.65307,-2.95588,0
