-2.12529,0.484105,1.29055,-0.491971
-2.16997,0.487932,1.2869,-0.474248
-2.21697,0.488157,1.28152,-0.45527
-2.26485,0.486882,1.27517,-0.435384
-2.31225,0.485183,1.26827,-0.414777
-2.35975,0.483604,1.26111,-0.393456
-2.40824,0.482246,1.25402,-0.371554
-2.45669,0.481026,1.24704,-0.349379
-2.50462,0.479815,1.2401,-0.326937
-2.54908,0.478814,1.23385,-0.30609
-2.59751,0.477782,1.2272,-0.283398
-2.64933,0.47667,1.21998,-0.258827
-2.69796,0.475679,1.21338,-0.235978
-2.74657,0.474722,1.20682,-0.213232
-2.79468,0.473737,1.20016,-0.190479
-2.84361,0.472797,1.19344,-0.167572
-2.8896,0.471921,1.18732,-0.146487
-2.94252,0.471637,1.18062,-0.121153
-2.9866,0.477935,1.17604,-0.0965537
-3.0301,0.49662,1.17271,-0.0667735
-3.06507,0.522344,1.17107,-0.0376395
-3.10335,0.560586,1.17042,7.16295e-05
-3.13801,0.600924,1.17079,0.0380261
-3.17215,0.642887,1.17172,0.0781884
-3.20297,0.681719,1.17278,0.116746
-3.23912,0.727507,1.17415,0.163699
-3.27317,0.770434,1.17551,0.208535
-3.30776,0.813525,1.17682,0.25401
-3.34214,0.856059,1.17798,0.299983
-3.37684,0.898894,1.17904,0.346482
-3.41242,0.94239,1.18006,0.393481
-3.44859,0.986023,1.18106,0.440518
-3.48458,1.029,1.18203,0.487616
-3.52065,1.07184,1.183,0.534521
-3.55648,1.11389,1.18392,0.581295
-3.59263,1.15604,1.18481,0.628052
-3.62645,1.19504,1.18565,0.671175
-3.6657,1.24086,1.1884,0.718867
-3.69047,1.27767,1.19461,0.750661
-3.69973,1.31869,1.20733,0.771534
-3.69091,1.35257,1.22284,0.774396
-3.66973,1.38582,1.24384,0.761336
-3.64472,1.41366,1.26514,0.736906
-3.61181,1.44482,1.29163,0.695802
-3.58287,1.47027,1.31507,0.651897
-3.54781,1.49996,1.3433,0.591785
-3.51577,1.52605,1.36829,0.532827
-3.48412,1.55086,1.39292,0.470302
-3.4504,1.5768,1.41963,0.399311
-3.41649,1.60248,1.44609,0.326204
-3.38457,1.62609,1.47116,0.25498
-3.35591,1.64745,1.49427,0.188711
-3.32265,1.6722,1.52099,0.110915
-3.29411,1.69369,1.5448,0.0417218
-3.26463,1.71648,1.56998,-0.0307405
-3.23647,1.73846,1.5939,-0.0999873
-3.20616,1.76269,1.62075,-0.177518
-3.17963,1.78503,1.6445,-0.250009
-3.16092,1.80747,1.66451,-0.327457
-3.15744,1.83286,1.68004,-0.413276
-3.16802,1.86276,1.69115,-0.50761
-3.18732,1.89521,1.69821,-0.610113
-3.21228,1.92847,1.70244,-0.720526
-3.2413,1.96204,1.70499,-0.837107
-3.27271,1.99544,1.70661,-0.958916
-3.30659,2.02958,1.70805,-1.08507
-3.34208,2.06534,1.70955,-1.21423
-3.37889,2.10298,1.71123,-1.34634
-3.41737,2.14366,1.71324,-1.48119
-3.4571,2.18804,1.71558,-1.61822
-3.49666,2.23542,1.71798,-1.7563
-3.53548,2.28457,1.72029,-1.89509
-3.57407,2.33583,1.72261,-2.03485
-3.61215,2.39005,1.72497,-2.17487
-3.64845,2.44671,1.72737,-2.31542
-3.68365,2.50618,1.72978,-2.45692
-3.71681,2.56812,1.73214,-2.59822
-3.74661,2.63061,1.73402,-2.73718
-3.77397,2.69165,1.73336,-2.86635
-3.80049,2.74953,1.72919,-2.97972
-3.82724,2.80383,1.72197,-3.07416
-3.85393,2.85418,1.71278,3.13432
-3.88065,2.90162,1.70218,3.07865
-3.90833,2.94752,1.69077,3.04009
-3.93622,2.99137,1.6793,3.01598
-3.96392,3.0335,1.6678,3.0037
-3.9922,3.07488,1.65617,3.00077
-4.02123,3.11593,1.64455,3.00486
-4.05023,3.15578,1.63322,3.01391
-4.07889,3.1947,1.62208,3.02638
-4.10745,3.23289,1.6109,3.04111
-4.13638,3.27116,1.5996,3.05724
-4.16549,3.30915,1.58841,3.07399
-4.19413,3.34646,1.57729,3.09095
-4.22286,3.38389,1.56605,3.10793
-4.25187,3.42149,1.55488,3.12468
-4.28046,3.45855,1.5438,3.14108
-4.30806,3.49511,1.53346,-3.12657
-4.32491,3.52582,1.52643,-3.1138
-4.321,3.5465,1.52349,-3.10528
-4.29728,3.55747,1.52372,-3.10127
-4.25927,3.56156,1.52597,-3.10152
-4.2143,3.56185,1.52917,-3.10539
-4.16873,3.5607,1.53275,-3.11214
-4.11698,3.55917,1.53712,-3.1223
-4.06649,3.55782,1.54145,-3.13413
-4.01705,3.55675,1.54571,3.13566
-3.96916,3.55593,1.54995,3.12164
-3.92084,3.5552,1.55423,3.10693
-3.8673,3.55446,1.55893,3.08981
-3.81758,3.55385
